oracle_calls,seed,top1,top10,top100
4100,4,0.7840125,0.7728088,0.7500386
4200,4,0.7840125,0.7730775,0.751177
4300,4,0.784985,0.773483,0.7519993
4400,4,0.7852924,0.7744355,0.7528717
4500,4,0.7854215,0.7748738,0.7536003
4600,4,0.7861196,0.7753761,0.7542363
4700,4,0.7865742,0.7755779,0.754858
4800,4,0.7865742,0.7759485,0.7558454
4900,4,0.7866261,0.7760702,0.7565586
5000,4,0.7882943,0.7765845,0.7574351
5100,4,0.788759,0.7767589,0.7583214
5200,4,0.788759,0.7768562,0.7589077
5300,4,0.788759,0.7769775,0.7593197
5400,4,0.788759,0.7770601,0.7595712
5500,4,0.788759,0.7771438,0.7598007
5600,4,0.788759,0.777258,0.7600737
5700,4,0.788759,0.7773277,0.7601965
5800,4,0.788759,0.7775529,0.7603639
5900,4,0.788759,0.7775554,0.7605643
6000,4,0.788812,0.7775905,0.7608737
6100,4,0.788812,0.7775966,0.7611669
6200,4,0.788812,0.7776057,0.7612757
6300,4,0.788812,0.7777187,0.7614224
6400,4,0.7901676,0.7778831,0.7617469
6500,4,0.7901676,0.7779443,0.7619096
6600,4,0.7901676,0.7779467,0.7621055
6700,4,0.7901676,0.7779468,0.7621654
6800,4,0.7906222,0.7779936,0.7623358
6900,4,0.7925472,0.7783786,0.762646
7000,4,0.7925472,0.7787652,0.7630119
7100,4,0.7926127,0.7787952,0.7631856
7200,4,0.7928069,0.7790499,0.76334
7300,4,0.7928073,0.7794416,0.7636351
7400,4,0.7928073,0.7798306,0.763884
7500,4,0.7929067,0.7798983,0.7640303
7600,4,0.7929067,0.7801124,0.7642033
7700,4,0.7929067,0.7801829,0.7643666
7800,4,0.7929067,0.7801855,0.7645411
7900,4,0.7929067,0.7801855,0.764629
8000,4,0.7933844,0.7803129,0.7646747
8100,4,0.7933844,0.7803129,0.7647706
8200,4,0.7933844,0.7803134,0.7648724
8300,4,0.7933844,0.7803134,0.7649224
8400,4,0.7933844,0.7803692,0.7649831
8500,4,0.7933844,0.7804167,0.7650535
8600,4,0.7933844,0.7804173,0.7651503
8700,4,0.7933844,0.7804173,0.7652062
8800,4,0.7933844,0.7804628,0.765269
8900,4,0.7933844,0.7804694,0.7653305
9000,4,0.7933844,0.7804985,0.7653803
9100,4,0.7934261,0.7805169,0.76543
9200,4,0.7934693,0.7806193,0.765526
9300,4,0.793606,0.780717,0.7655938
9400,4,0.793606,0.7807232,0.765672
9500,4,0.793606,0.7808871,0.7657836
9600,4,0.793606,0.7810451,0.7658951
9700,4,0.793606,0.7811007,0.7660158
9800,4,0.793606,0.7811007,0.7661435
9900,4,0.793606,0.7811007,0.766195
10000,4,0.793606,0.7811007,0.7662296
